PWM,RPM
0,0.00
2,0.00
4,0.00
6,0.00
8,3.23
10,5.00
12,6.73
14,8.40
16,10.18
18,11.90
20,13.68
22,15.51
24,17.13
26,18.68
28,20.35
30,22.19
32,23.80
36,26.97
38,28.69
40,30.31
42,31.86
44,33.36
46,35.25
48,36.92
50,38.59
52,40.26
54,41.93
56,43.65
58,45.15
60,46.82
62,48.49
64,50.10
66,51.38
68,53.16
70,54.83
72,56.50
74,58.00
76,59.67
78,61.33
80,63.00
82,64.73
84,66.73
86,66.73
88,69.56
90,71.23
92,72.90
94,74.62
96,76.24
98,77.79
100,79.57
102,81.24
104,82.97
106,84.36
108,86.08
110,87.91
112,89.64
114,91.47
116,93.20
118,94.81
120,96.37
122,97.81
124,99.70
126,101.37
128,103.15
130,104.71
132,106.54
134,108.27
136,109.94
138,111.21
140,112.94
142,114.66
144,116.39
146,118.22
148,120.22
150,121.95
152,123.84
154,125.45
156,127.23
158,128.90
160,130.51
162,132.01
164,133.46
166,133.40
168,136.68
170,138.41
172,140.24
174,141.96
176,143.69
178,145.63
180,147.25
182,148.92
184,150.70
186,152.20
188,153.86
190,155.64
192,157.37
194,158.98
196,160.76
198,162.48
200,164.21
202,165.43
204,166.71
206,168.77
208,170.88
210,172.66
212,174.33
214,176.11
216,177.89
218,179.39
220,181.11
222,182.72
224,184.39
226,185.73
228,187.23
230,189.01
232,190.62
234,192.57
236,194.24
238,195.90
240,197.68
242,199.13
244,200.13
246,201.30
248,203.24
250,203.86
252,205.36
254,207.19
